"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"FTW88LA089","N7116G","17258816","ACCIDENT","11-APR-88","TX","INTERNATIONAL","PART 91: GENERAL AVIATION","","","CESSNA","172","K","FINAL","NONE","TAXI"
"FTW88LA091","N704MF","15078714","ACCIDENT","18-APR-88","TX","","PART 91: GENERAL AVIATION","","PEGASUS FLIGHT CENTER","CESSNA","150","M","FINAL","SERIOUS","LANDING"
"FTW88LA093","N4226V","1200504","ACCIDENT","25-APR-88","LA","CHENEYVILLE","PART 137: AGRICULTURAL","UNKNOWN","VAUGHN FLYING SERVICE","PZL MIELEC","M18","UNDESIGNATED SERIES","FINAL","NONE","APPROACH"
"FTW88LA094","N2645F","18256745","ACCIDENT","28-APR-88","OK","","PART 91: GENERAL AVIATION","","AIRPORT SERVICE COMPANY","CESSNA","182","J","FINAL","NONE","LANDING"
"FTW88LA095","N80799","202","ACCIDENT","02-MAY-88","TX","FREEDOM SPRING RANCH","PART 91: GENERAL AVIATION","","","GLOBE","GC1B","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW88LA096","N1424C","5558-21","ACCIDENT","08-MAY-88","OK","PAWNEE MUNICIPAL","PART 91: GENERAL AVIATION","","","PIPER","PA22","135","FINAL","SERIOUS","TAKEOFF"
"FTW88LA098","N3853V","18740","ACCIDENT","08-MAY-88","TX","","PART 91: GENERAL AVIATION","","","CESSNA","170","UNDESIGNATED SERIES","FINAL","SERIOUS","CRUISE"
"FTW88LA099","N7330R","TC-1788","ACCIDENT","12-MAY-88","OK","ADA MUNICIPAL","PART 91: GENERAL AVIATION","","","BEECH","55","95B55","FINAL","NONE","TAKEOFF"
"FTW88LA101","N6069J","18263623","ACCIDENT","14-MAY-88","TX","","PART 91: GENERAL AVIATION","","","CESSNA","182","P","FINAL","SERIOUS","DESCENT"
"FTW88LA102","N2RD","368","ACCIDENT","15-MAY-88","TX","","PART 91: GENERAL AVIATION","","","PIPER","PA24","250","FINAL","NONE","LANDING"
"FTW88LA105","N4675G","172-73301","ACCIDENT","18-MAY-88","TX","","PART 91: GENERAL AVIATION","","STRAMEL AVIATION INC","CESSNA","172","N","FINAL","MINOR","LANDING"
"FTW88LA107","N4659G","17273285","ACCIDENT","19-MAY-88","TX","GRAHAM MUNICIPAL","PART 91: GENERAL AVIATION","","AMERICAN FLYERS CO INC","CESSNA","172","N","FINAL","NONE","LANDING"
"FTW88LA108","N52119","17274418","ACCIDENT","23-MAY-88","TX","AERO VALLEY","PART 91: GENERAL AVIATION","","NORTH TEXAS AERO","CESSNA","172","P","FINAL","NONE","TAKEOFF"
"FTW88LA111","N3799Y","21058299","ACCIDENT","28-MAY-88","LA","FALSE RIVER AIR PARK","PART 91: GENERAL AVIATION","","","CESSNA","210","D","FINAL","NONE","LANDING"
"FTW88LA112","N98088","28-26035","ACCIDENT","29-MAY-88","TX","","PART 91: GENERAL AVIATION","","","PIPER","PA28","140","FINAL","SERIOUS","DESCENT"
"FTW88LA113","N25352","1520610","ACCIDENT","01-JUN-88","OK","CANADIAN RIVER RANCH","PART 91: GENERAL AVIATION","","FLIGHT TRAINING CENTER INC","CESSNA","152","NO SERIES EXISTS","FINAL","SERIOUS","DESCENT"
"FTW88LA116","N3153R","18258553","ACCIDENT","08-JUN-88","LA","","PART 91: GENERAL AVIATION","","","CESSNA","182","L","FINAL","NONE","TAKEOFF"
"FTW88LA117","N7317T","46917","ACCIDENT","08-JUN-88","TX","CLEVELAND MUNI","PART 91: GENERAL AVIATION","","","CESSNA","172","A","FINAL","MINOR","TAXI"
"FTW88LA118","N84889","7AC-3608","ACCIDENT","09-JUN-88","TX","NORTHWEST REGIONAL","PART 91: GENERAL AVIATION","","","AERONCA","7AC","NO SERIES EXISTS","FINAL","MINOR","TAKEOFF"
"FTW88LA120","N94370","15285657","ACCIDENT","13-JUN-88","OK","","PART 91: GENERAL AVIATION","","SPARTAN AVIATION","CESSNA","152","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"FTW88LA121","N666BK","1084","ACCIDENT","12-JUN-88","TX","","PART 91: GENERAL AVIATION","","","LAKE","LA4","200","FINAL","NONE","LANDING"
