"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"ANC00FA018","N1747U","20700347","ACCIDENT","07-DEC-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","GRANT AVIATION INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","FATAL","CRUISE"
"ANC00FA024","N756HG","U20604099","ACCIDENT","05-FEB-00","AK","ILIAMNA","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","ILIAMNA AIR TAXI INC","CESSNA","U206","G","FINAL","FATAL","CRUISE"
"ANC00FA052","N3935Z","18-7781","ACCIDENT","01-MAY-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","FATAL",""
"ANC00FA056","N6951R","MC-316","ACCIDENT","09-MAY-00","AK","MERRILL FIELD","PART 91: GENERAL AVIATION","","TAKE FLIGHT ALASKA INC","BEECH","24","B24R","FINAL","NONE",""
"ANC00FA076","N4762D","17272353","ACCIDENT","22-JUN-00","AK","TUNTUTULIAK","PART 91: GENERAL AVIATION","","VILLAGE AVIATION INC","CESSNA","172","N","FINAL","FATAL",""
"ANC00FA081","N63MR","337-0915","ACCIDENT","30-JUN-00","AK","MARSHALL","PART 91: GENERAL AVIATION","","MISSIONARY AVIATION CENTER","CESSNA","337","C","FINAL","FATAL",""
"ANC00FA082","N862SP","17258196","ACCIDENT","03-JUL-00","AK","","PART 91: GENERAL AVIATION","","TAKE FLIGHT ALASKA INC","CESSNA","172","S","FINAL","FATAL",""
"ANC00FA093","N2997A","30197","ACCIDENT","20-JUL-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","FATAL","CLIMB"
"ANC00FA110","N4411L","17254496","ACCIDENT","31-AUG-00","AK","JUNEAU INTERNATIONAL","PART 91: GENERAL AVIATION","","","CESSNA","172","G","FINAL","FATAL",""
"ANC00FA128","N42472","207-00148","ACCIDENT","20-SEP-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","INLAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","FATAL","CLIMB"
"ANC00GA071","N1589F","1850971","ACCIDENT","19-JUN-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","HUDSON AIR SERVICE INC","CESSNA","185","E","FINAL","FATAL","CRUISE"
"ANC00GA121","N15","LA-138","ACCIDENT","12-SEP-00","AK","ANCHORAGE INTERNATIONAL","PART 91: GENERAL AVIATION","","","BEECH","90","F90","FINAL","NONE","APPROACH"
"ANC00IA010","N792AS","28887","INCIDENT","02-NOV-99","AK","JUNEAU INTERNATIONAL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","BOEING","737","400","FINAL","NONE","LANDING"
"ANC00IA034","N949AS","53022","INCIDENT","07-MAR-00","AK","FAIRBANKS INTL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","DOUGLAS","DC9","83","FINAL","NONE",""
"ANC00IA063","N3536B","75952205","INCIDENT","01-JUN-00","AK","RALPH M CALHOUN MEMORIAL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","FRONTIER FLYING SERVICE INC","PIPER","PA31","350","FINAL","NONE",""
"ANC00IA083","N73100","20700559","INCIDENT","04-JUL-00","AK","DEADHORSE","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","CAPE SMYTHE AIR SERVICE","CESSNA","207","A","FINAL","NONE",""
"ANC00IA088","N935AS","49236","INCIDENT","11-JUL-00","AK","ANCHORAGE INTL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","DOUGLAS","DC9","82","FINAL","NONE","APPROACH"
"ANC00LA001","N4156Y","962-77","ACCIDENT","03-OCT-99","AK","LAKE HOOD STRIP","PART 91: GENERAL AVIATION","","","CHAMPION","7GCBC","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"ANC00LA002","N85CG","18501927","ACCIDENT","07-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","GULF AIR TAXI INC","CESSNA","A185","E","FINAL","NONE","LANDING"
"ANC00LA004","N74923","31-7305066","ACCIDENT","11-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","F S AIR SERVICE INC","PIPER","PA31","UNDESIGNATED SERIES","FINAL","NONE","CRUISE"
"ANC00LA005","N4762D","724736","ACCIDENT","07-OCT-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","VILLAGE AVIATION INC","CESSNA","172","UNDESIGNATED SERIES","FINAL","NONE","TAXI"
"ANC00LA006","N220CS","31T8275013","ACCIDENT","15-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE INC","PIPER","PA31T","3","FINAL","NONE","CRUISE"
"ANC00LA008","N207SE","20700237","ACCIDENT","27-OCT-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","HAGELAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE","CRUISE"
"ANC00LA009","N31606","32-780137","ACCIDENT","28-OCT-99","AK","RUSSIAN MISSION","PART 135: AIR TAXI & COMMUTER","SCHEDULED","BIDZY TA HOT AANA CORP","PIPER","PA32","300","FINAL","NONE","CRUISE"
"ANC00LA011","N8918Y","18-7409036","ACCIDENT","19-OCT-99","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","150","FINAL","NONE","LANDING"
"ANC00LA012","N8145D","22-5636","ACCIDENT","07-NOV-99","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA22","160","FINAL","NONE","LANDING"
"ANC00LA013","N5657A","4013C","ACCIDENT","15-NOV-99","AK","FOUR CORNERS","PART 91: GENERAL AVIATION","","","MAULE","M7","235C","FINAL","NONE","TAKEOFF"
"ANC00LA014","N5730G","15071230","ACCIDENT","21-NOV-99","AK","JUNEAU INTERNATIONAL","PART 91: GENERAL AVIATION","","JUNEAU FLIGHT SCHOOL","CESSNA","150","K","FINAL","SERIOUS","TAKEOFF"
"ANC00LA015","N9933M","20700750","ACCIDENT","16-NOV-99","AK","DILLINGHAM","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","YUTE AIR ALASKA","CESSNA","207","A","FINAL","MINOR","TAKEOFF"
"ANC00LA016","N3719T","F-110","ACCIDENT","05-DEC-99","AK","","PART 91: GENERAL AVIATION","","","TAYLORCRAFT","19","NO SERIES EXISTS","FINAL","SERIOUS","TAKEOFF"
"ANC00LA017","N5187B","208B0270","ACCIDENT","06-DEC-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","ARCTIC CIRCLE AIR SERVICE","CESSNA","208","B","FINAL","NONE","TAKEOFF"
"ANC00LA019","N53910","192-76","ACCIDENT","11-DEC-99","AK","","PART 91: GENERAL AVIATION","","","CHAMPION","8GCBC","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"ANC00LA020","N70021","18501896","ACCIDENT","23-DEC-99","AK","SEWARD","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","MANUFACTURED HOMES OF ALASKA INC","CESSNA","185","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA021","N1864","20700526","ACCIDENT","24-DEC-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","GRANT AVIATION INC","CESSNA","T207","A","FINAL","MINOR","TAKEOFF"
"ANC00LA022","N8004N","32-8206014","ACCIDENT","26-JAN-00","AK","EKUK","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","PENINSULA AIRWAYS INC","PIPER","PA32","301","FINAL","NONE","LANDING"
"ANC00LA023","N6381V","046","ACCIDENT","02-FEB-00","AK","CHENA MARINA","PART 91: GENERAL AVIATION","","","PIETENPOL","AIRCAMPER","NO SERIES EXISTS","FINAL","NONE",""
"ANC00LA025","N327CT","20700535","ACCIDENT","07-FEB-00","AK","TULUKSAK","PART 135: AIR TAXI & COMMUTER","SCHEDULED","HAGELAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA026","N4961A","32358","ACCIDENT","08-FEB-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA027","N110JK","31T-8375005","ACCIDENT","09-FEB-00","AK","WALES","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE INC","PIPER","PA31T","3","FINAL","SERIOUS","APPROACH"
"ANC00LA028","N7164B","18-5190","ACCIDENT","17-FEB-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA029","N219CS","31T8275005","ACCIDENT","21-FEB-00","AK","RALPH WEIN MEMORIAL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE","PIPER","PA31T","3","FINAL","MINOR",""
"ANC00LA030","N8221V","18051723","ACCIDENT","25-FEB-00","AK","OPHIR","PART 91: GENERAL AVIATION","","","CESSNA","180","H","FINAL","NONE",""
"ANC00LA031","N2814C","26357","ACCIDENT","05-MAR-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","170","B","FINAL","NONE",""
"ANC00LA032","N6453M","108-4453","ACCIDENT","05-MAR-00","AK","FAIRBANKS INTERNATIONAL","PART 91: GENERAL AVIATION","","","STINSON","108","3","FINAL","NONE",""
"ANC00LA033","N407GV","208B0616","ACCIDENT","04-MAR-00","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","HAGELAND AVIATION SERVICES INC","CESSNA","208","B","FINAL","NONE",""
"ANC00LA035","N75703","20700639","ACCIDENT","10-MAR-00","AK","DELTA JUNCTION","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","40 MILE AIR LTD","CESSNA","207","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA036","N96082","15286004","ACCIDENT","19-MAR-00","AK","ELMENDORF AFB","PART 91: GENERAL AVIATION","","ELMENDORF AERO CLUB","CESSNA","152","NO SERIES EXISTS","FINAL","SERIOUS",""
"ANC00LA038","N8540F","32R-7780108","ACCIDENT","27-MAR-00","AK","FAIRBANKS INTERNATIONAL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","SERVANT AIR INC","PIPER","PA32R","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA040","N704GK","15078598","ACCIDENT","02-APR-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","150","M","FINAL","NONE",""
"ANC00LA041","N6119W","28-20135","ACCIDENT","12-APR-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA28","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA042","N549WB","1911","ACCIDENT","05-APR-00","AK","POGO MINE AIRSTRIP","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","ALLWEST FREIGHT INC","SHORT","SC7","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA043","N8255Q","U20603116","ACCIDENT","12-APR-00","AK","POGO MINE AIRSTRIP","PART 91: GENERAL AVIATION","","ALLWEST FREIGHT INC","CESSNA","U206","F","FINAL","NONE",""
"ANC00LA044","N2790C","26334","ACCIDENT","13-APR-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","170","B","FINAL","NONE",""
"ANC00LA045","N6446K","15077707","ACCIDENT","14-APR-00","AK","SHEEP MOUNTAIN","PART 91: GENERAL AVIATION","","MUSTANG AIR INC","CESSNA","150","M","FINAL","NONE",""
"ANC00LA046","N88472","16096","ACCIDENT","15-APR-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","J3C","65","FINAL","NONE",""
"ANC00LA047","N3697M","2641","ACCIDENT","16-APR-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA12","NO SERIES EXISTS","FINAL","NONE",""
"ANC00LA048","N10100","18-8481","ACCIDENT","18-APR-00","AK","GOOSE BAY","PART 91: GENERAL AVIATION","","","PIPER","PA18","150","FINAL","NONE",""
"ANC00LA049","N1200A","1200","ACCIDENT","22-APR-00","AK","MC CARTHY","PART 91: GENERAL AVIATION","","WRANGELL MOUNTAIN AIR INC","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAXI"
"ANC00LA050","N3725D","34425","ACCIDENT","28-APR-00","AK","GREEN'S STRIP","PART 91: GENERAL AVIATION","","","CESSNA","182","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA051","N4418Z","18-8753","ACCIDENT","29-APR-00","AK","SELDOVIA","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA053","N301MH","2371","ACCIDENT","01-MAY-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","MARITIME HELICOPTERS INC","BELL","206","B","FINAL","NONE",""
"ANC00LA054","N992EZ","25905","ACCIDENT","07-MAY-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","170","B","FINAL","NONE",""
"ANC00LA055","N49686","1905","ACCIDENT","05-MAY-00","AK","","PART 91: GENERAL AVIATION","","COASTAL HELICOPTERS INC","BELL","206","B","FINAL","NONE","LANDING"
"ANC00LA057","N2785K","18053067","ACCIDENT","09-MAY-00","AK","MERRILL FIELD","PART 91: GENERAL AVIATION","","","CESSNA","180","K","FINAL","NONE",""
"ANC00LA058","N7944H","12-847","ACCIDENT","13-MAY-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA12","NO SERIES EXISTS","FINAL","NONE",""
"ANC00LA060","N49EB","12-2756","ACCIDENT","19-MAY-00","AK","ANDERSON LAKE STRIP","PART 91: GENERAL AVIATION","","","PIPER","PA12","NO SERIES EXISTS","FINAL","MINOR",""
"ANC00LA061","N402ET","402C0054","ACCIDENT","22-MAY-00","AK","CORDOVA","PART 135: AIR TAXI & COMMUTER","SCHEDULED","ARCTIC CIRCLE AIR SERVICE","CESSNA","402","C","FINAL","NONE",""
"ANC00LA062","N186RM","51603","ACCIDENT","03-JUN-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","182","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA064","N1724P","22-2514","ACCIDENT","05-JUN-00","AK","GULKANA","PART 91: GENERAL AVIATION","","","PIPER","PA22","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA065","N43863","7522","ACCIDENT","25-MAY-00","AK","NENANA MUNI","PART 91: GENERAL AVIATION","","","TAYLORCRAFT","BC12","D","FINAL","NONE",""
"ANC00LA066","N9739P","18-7609010","ACCIDENT","09-JUN-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","150","FINAL","NONE",""
"ANC00LA067","N95250","9650","ACCIDENT","10-JUN-00","AK","","PART 91: GENERAL AVIATION","","","TAYLORCRAFT","BC12","D","FINAL","NONE","TAKEOFF"
"ANC00LA068","N8162C","18-3618","ACCIDENT","10-JUN-00","AK","KODIAK","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA069","N7283","725","ACCIDENT","13-JUN-00","AK","","PART 91: GENERAL AVIATION","","ALASKA RAINBOW LODGE INC","DE HAVILLAND","DHC2","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA070","N9963Q","18-3950","ACCIDENT","13-JUN-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA072","N3229D","32027","ACCIDENT","20-JUN-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA073","N2623B","5160","ACCIDENT","21-JUN-00","AK","","PART 91: GENERAL AVIATION","","","STODDARD HAMILTON","GLASTAR","NO SERIES EXISTS","FINAL","MINOR","CRUISE"
"ANC00LA074A","N495K","U20602730","ACCIDENT","22-JUN-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","KATMAILAND INC","CESSNA","206","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA074B","N5221G","667","ACCIDENT","22-JUN-00","AK","","PART 91: GENERAL AVIATION","","","DE HAVILLAND","DHC2","UNDESIGNATED SERIES","FINAL","MINOR",""
"ANC00LA077","N2514D","20666","ACCIDENT","23-JUN-00","AK","NEW WASILLA","PART 91: GENERAL AVIATION","","","CESSNA","170","B","FINAL","NONE","LANDING"
"ANC00LA078","N2413P","18-8009055","ACCIDENT","24-JUN-00","AK","RALPH WIEN MEMORIAL","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA079","N78NR","18-3513","ACCIDENT","24-JUN-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA080","N7437","18-5455","ACCIDENT","25-JUN-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA084","N9855M","1034C","ACCIDENT","08-JUL-00","AK","","PART 91: GENERAL AVIATION","","","MAULE","M4","210C","FINAL","NONE","CRUISE"
"ANC00LA085","N1658U","20700258","ACCIDENT","06-JUL-00","AK","","PART 91: GENERAL AVIATION","","MAA","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA086","N1549U","20700149","ACCIDENT","12-JUL-00","AK","KOTLIK","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","LARRYS FLYING SERVICE","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA087","N9013G","18261314","ACCIDENT","02-JUL-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","182","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA089","N9359E","995","ACCIDENT","14-JUL-00","AK","WASILLA LAKE","PART 91: GENERAL AVIATION","","","AERONCA","11BC","NO SERIES EXISTS","FINAL","MINOR","TAKEOFF"
"ANC00LA090","N6194M","7187C","ACCIDENT","14-JUL-00","AK","NEW WASILLA","PART 91: GENERAL AVIATION","","","","","","FINAL","NONE","TAKEOFF"
"ANC00LA091","N345KA","1306","ACCIDENT","17-JUL-00","AK","","PART 91: GENERAL AVIATION","","KETCHUM AIR SERVICE INC","DE HAVILLAND","DHC2","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA092","N6296R","15061596","ACCIDENT","20-JUL-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","150","F","FINAL","SERIOUS",""
"ANC00LA094","N1755P","18-4075","ACCIDENT","25-JUL-00","AK","MERLE K (MUDHOLE) SMITH","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","MINOR","LANDING"
"ANC00LA095","N2796M","112-1195","ACCIDENT","05-AUG-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA12","NO SERIES EXISTS","FINAL","NONE","LANDING"
"ANC00LA096","N7777D","18-5962","ACCIDENT","08-AUG-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA097","N3569T","F-030","ACCIDENT","12-AUG-00","AK","","PART 91: GENERAL AVIATION","","","TAYLORCRAFT","19","NO SERIES EXISTS","FINAL","NONE","LANDING"
"ANC00LA098","N444EF","926","ACCIDENT","26-JUL-00","AK","","PART 91: GENERAL AVIATION","","KATMAI PRO SHOP INC","DE HAVILLAND","DHC2","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA099","N20752","18503041","ACCIDENT","11-AUG-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","CAPE SMYTHE AIR SERVICE INC","CESSNA","185","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA100","N82962","18-7909037","ACCIDENT","14-AUG-00","AK","","PART 91: GENERAL AVIATION","","JACQUES ADVENTURE COMPANY INC","PIPER","PA18","UNDESIGNATED SERIES","FINAL","SERIOUS","MANEUVERING"
"ANC00LA101","N61881","1092-0897","ACCIDENT","11-AUG-00","AK","","PART 91: GENERAL AVIATION","","","QUAD CITY","CHALLENGER","II","FINAL","MINOR","TAKEOFF"
"ANC00LA102","N88283","15901","ACCIDENT","16-AUG-00","AK","MERRILL FIELD","PART 91: GENERAL AVIATION","","","PIPER","J3","NO SERIES EXISTS","FINAL","MINOR","TAKEOFF"
"ANC00LA103","N1205F","18502768","ACCIDENT","16-AUG-00","AK","","PART 91: GENERAL AVIATION","","ANKER, WILLIAM E","CESSNA","185","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA104","N78635","11-1396","ACCIDENT","16-AUG-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA11","NO SERIES EXISTS","FINAL","NONE","LANDING"
"ANC00LA105","N185M","18504264","ACCIDENT","16-AUG-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","SWANSTROM, PAUL N","CESSNA","185","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA106","N995SB","D179","ACCIDENT","18-AUG-00","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE","BEECH","99","C99","FINAL","NONE","CRUISE"
"ANC00LA107","N71770","18259748","ACCIDENT","21-AUG-00","AK","GOLOVIN","PART 91: GENERAL AVIATION","","","CESSNA","182","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA108","N4985A","32382","ACCIDENT","23-AUG-00","AK","","PART 91: GENERAL AVIATION","","PAINTER CREEK LODGE INC","CESSNA","180","UNDESIGNATED SERIES","FINAL","FATAL",""
"ANC00LA111","N12188","17261871","ACCIDENT","21-AUG-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","172","UNDESIGNATED SERIES","FINAL","NONE","APPROACH"
"ANC00LA112","N10572","933","ACCIDENT","02-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA113","N603C","108-3603","ACCIDENT","05-SEP-00","AK","YAKUTAT","PART 91: GENERAL AVIATION","","","STINSON","108","3","FINAL","NONE","LANDING"
"ANC00LA114","N3774Z","18-07454","ACCIDENT","04-SEP-00","AK","","PART 91: GENERAL AVIATION","","KURT LEPPING","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA115","N9874M","20700745","ACCIDENT","06-SEP-00","AK","KONGIGANAK","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","ALASKA CENTRAL EXPRESS","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"ANC00LA116","N1824Q","20700788","ACCIDENT","09-AUG-00","AK","","PART 91: GENERAL AVIATION","","LARRYS FLYING SERVICE","CESSNA","207","A","FINAL","NONE","LANDING"
"ANC00LA117","N2347C","30647","ACCIDENT","08-SEP-00","AK","DUTCH LANDING STRIP","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA118","N82905","","ACCIDENT","10-SEP-00","AK","","PART 91: GENERAL AVIATION","","ALASKAN ADVENTURES","PIPER","PA18","UNDESIGNATED SERIES","FINAL","SERIOUS","LANDING"
"ANC00LA119","N9692P","18-7509036","ACCIDENT","11-SEP-00","AK","","PART 91: GENERAL AVIATION","","ANDERSON WILDERNESS GUIDE SERVICE","PIPER","PA18","UNDESIGNATED SERIES","FINAL","SERIOUS","TAKEOFF"
"ANC00LA120","N27179","31-7752091","ACCIDENT","11-SEP-00","AK","ANCHORAGE INTERNATIONAL","PART 91: GENERAL AVIATION","","JAY HAWK AIR","PIPER","PA31","350","FINAL","NONE",""
"ANC00LA122","N8DG","27-7308","ACCIDENT","13-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA22","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA123","N72775","9958","ACCIDENT","13-SEP-00","AK","ILIAMNA","PART 91: GENERAL AVIATION","","","CESSNA","120","NO SERIES EXISTS","FINAL","MINOR",""
"ANC00LA124","N18PX","18-7505","ACCIDENT","11-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA127","N81648","18-6452","ACCIDENT","19-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA129","N1455H","525","ACCIDENT","21-SEP-00","AK","LAKE HOOD SEAPLANE","PART 91: GENERAL AVIATION","","","AERONCA","15AC","NO SERIES EXISTS","FINAL","NONE",""
"ANC00LA130","N7099Y","18-8135","ACCIDENT","26-SEP-00","AK","SEYMOUR LAKE SPB","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00LA131","N6760B","18-5035","ACCIDENT","15-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA132","N405AE","3286","ACCIDENT","23-SEP-00","AK","","PART 91: GENERAL AVIATION","","TEMSCO HELICOPTERS INC","AEROSPATIALE","AS350","B3","FINAL","NONE","MANEUVERING"
"ANC00LA133","N4105D","31-8252027","ACCIDENT","14-SEP-00","AK","EMMONAK","PART 135: AIR TAXI & COMMUTER","SCHEDULED","GRANT AVIATION INC","PIPER","PA31","350","FINAL","NONE",""
"ANC00LA134","N5489H","18-80","ACCIDENT","28-SEP-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","105SPECIAL","FINAL","NONE",""
"ANC00LA135","N9654S","52","ACCIDENT","14-SEP-00","AK","","PART 91: GENERAL AVIATION","","","CHAMPION","7GCBC","NO SERIES EXISTS","FINAL","NONE",""
"ANC00MA125","N220CS","31T-8275013","ACCIDENT","18-SEP-00","AK","NUIQSUT","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE INC","PIPER","PA31T","3","FINAL","FATAL","LANDING"
"ANC00TA039","N5006R","2532","ACCIDENT","29-MAR-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","CALALASKA HELICOPTERS INC","BELL","206","B","FINAL","NONE",""
"ANC00TA059","N1789","18502342","ACCIDENT","19-MAY-00","AK","GOOSE BAY","PART 91: GENERAL AVIATION","","","CESSNA","185","UNDESIGNATED SERIES","FINAL","MINOR","LANDING"
"ANC00TA075","N7059","18-8043","ACCIDENT","22-JUN-00","AK","QUINHAGAK","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","NONE","TAKEOFF"
"ANC00TA109","N125FG","18-1046","ACCIDENT","29-AUG-00","AK","","PART 91: GENERAL AVIATION","","STATE OF ALASKA","PIPER","PA18","UNDESIGNATED SERIES","FINAL","SERIOUS","CRUISE"
"ANC01FA011","N575D","UE-24","ACCIDENT","22-OCT-00","AK","BETHEL","PART 121: AIR CARRIER","SCHEDULED","FRONTIER FLYING SERVICE INC","BEECH","1900","D","FINAL","NONE","LANDING"
